"County","measure","value"
"Bent","Up-To-Date Percent",0.5091
"San Miguel","Up-To-Date Percent",0.4475
"San Juan","Up-To-Date Percent",0.4118
"Pueblo","Up-To-Date Percent",0.4445
"Park","Up-To-Date Percent",0.4152
"Montrose","Up-To-Date Percent",0.4144
"Las Animas","Up-To-Date Percent",0.4289
"Lake","Up-To-Date Percent",0.4404
"Grand","Up-To-Date Percent",0.4199
"Gilpin","Up-To-Date Percent",0.4148
"Garfield","Up-To-Date Percent",0.4306
"Dolores","Up-To-Date Percent",0.4156
"Baca","Up-To-Date Percent",0.4279
"Rio Grande","Up-To-Date Percent",0.381
"Morgan","Up-To-Date Percent",0.392
"Mesa","Up-To-Date Percent",0.3768
"La Plata","Up-To-Date Percent",0.4086
"Jackson","Up-To-Date Percent",0.3667
"Huerfano","Up-To-Date Percent",0.3733
"El Paso","Up-To-Date Percent",0.3837
"Eagle","Up-To-Date Percent",0.3817
"Clear Creek","Up-To-Date Percent",0.3911
"Cheyenne","Up-To-Date Percent",0.4
"Alamosa","Up-To-Date Percent",0.3965
"Moffat","Up-To-Date Percent",0.3178
"Lincoln","Up-To-Date Percent",0.3281
"Delta","Up-To-Date Percent",0.3469
"Custer","Up-To-Date Percent",0.3172
"Crowley","Up-To-Date Percent",0.339
"Chaffee","Up-To-Date Percent",0.328
"Teller","Up-To-Date Percent",0.3007
"Saguache","Up-To-Date Percent",0.2877
"Pitkin","Up-To-Date Percent",0.2656
"Phillips","Up-To-Date Percent",0.2633
"Ouray","Up-To-Date Percent",0.2684
"Gunnison","Up-To-Date Percent",0.2952
"Fremont","Up-To-Date Percent",0.3057
"Conejos","Up-To-Date Percent",0.2904
"Archuleta","Up-To-Date Percent",0.3035
"Washington","Up-To-Date Percent",0.2105
"Montezuma","Up-To-Date Percent",0.2506
"Logan","Up-To-Date Percent",0.2532
"Yuma","Up-To-Date Percent",0.1682
"Rio Blanco","Up-To-Date Percent",0.2003
"Sedgwick","Up-To-Date Percent",0.1408
"Kit Carson","Up-To-Date Percent",0.1138
"Hinsdale","Up-To-Date Percent",0.0732
