GEOID,County,State,measure,value
08057,Jackson County,Colorado,Economic Segregation,-0.24921135646687698
08059,Jefferson County,Colorado,Economic Segregation,0.22429186230111944
08061,Kiowa County,Colorado,Economic Segregation,-0.10104529616724739
08063,Kit Carson County,Colorado,Economic Segregation,-0.1091283459162663
08065,Lake County,Colorado,Economic Segregation,0.08516390672524501
08067,La Plata County,Colorado,Economic Segregation,0.051853448275862066
08069,Larimer County,Colorado,Economic Segregation,0.1014705979376002
08071,Las Animas County,Colorado,Economic Segregation,-0.23220414863453215
08073,Lincoln County,Colorado,Economic Segregation,-0.16395939086294417
08075,Logan County,Colorado,Economic Segregation,-0.11364752086401571
08077,Mesa County,Colorado,Economic Segregation,-0.04290648863829985
08079,Mineral County,Colorado,Economic Segregation,-0.1497695852534562
08081,Moffat County,Colorado,Economic Segregation,-0.060343201961154065
08083,Montezuma County,Colorado,Economic Segregation,-0.10700870361887312
08085,Montrose County,Colorado,Economic Segregation,-0.08243482229448343
08087,Morgan County,Colorado,Economic Segregation,-0.07531949605728269
08089,Otero County,Colorado,Economic Segregation,-0.18696846787910507
08091,Ouray County,Colorado,Economic Segregation,0.03739061256961018
08093,Park County,Colorado,Economic Segregation,0.09612880312536995
08095,Phillips County,Colorado,Economic Segregation,-0.1048951048951049
08097,Pitkin County,Colorado,Economic Segregation,0.1851400730816078
08099,Prowers County,Colorado,Economic Segregation,-0.20552147239263804
08101,Pueblo County,Colorado,Economic Segregation,-0.11339506901026307
08103,Rio Blanco County,Colorado,Economic Segregation,-0.0776961731735601
08105,Rio Grande County,Colorado,Economic Segregation,-0.13732114467408585
08107,Routt County,Colorado,Economic Segregation,0.24145399755155852
08109,Saguache County,Colorado,Economic Segregation,-0.17172646427476235
08111,San Juan County,Colorado,Economic Segregation,-0.04419889502762431
08113,San Miguel County,Colorado,Economic Segregation,0.06578289144572286
08115,Sedgwick County,Colorado,Economic Segregation,-0.224
08117,Summit County,Colorado,Economic Segregation,0.24345994978537297
08119,Teller County,Colorado,Economic Segregation,0.03821203234692971
08121,Washington County,Colorado,Economic Segregation,-0.04541062801932367
08123,Weld County,Colorado,Economic Segregation,0.10934935301910531
08125,Yuma County,Colorado,Economic Segregation,-0.056103108415466264
08001,Adams County,Colorado,Racial Economic Segregation,0.16785428515819295
08003,Alamosa County,Colorado,Racial Economic Segregation,0.07945205479452055
08005,Arapahoe County,Colorado,Racial Economic Segregation,0.20210721178463115
08007,Archuleta County,Colorado,Racial Economic Segregation,0.15091463414634146
08009,Baca County,Colorado,Racial Economic Segregation,0.05649717514124294
08011,Bent County,Colorado,Racial Economic Segregation,0.0624
08013,Boulder County,Colorado,Racial Economic Segregation,0.2930488796864601
08014,Broomfield County,Colorado,Racial Economic Segregation,0.32133501503832346
08015,Chaffee County,Colorado,Racial Economic Segregation,0.20467645459488853
08017,Cheyenne County,Colorado,Racial Economic Segregation,0.10252996005326231
08019,Clear Creek County,Colorado,Racial Economic Segregation,0.2987588652482269
08021,Conejos County,Colorado,Racial Economic Segregation,0.05012853470437018
08023,Costilla County,Colorado,Racial Economic Segregation,0.01588310038119441
08025,Crowley County,Colorado,Racial Economic Segregation,0.04276069017254314
08027,Custer County,Colorado,Racial Economic Segregation,0.10498366013071896
08029,Delta County,Colorado,Racial Economic Segregation,0.1030202403542062
08031,Denver County,Colorado,Racial Economic Segregation,0.20725291129869106
08033,Dolores County,Colorado,Racial Economic Segregation,0.09046849757673667
08035,Douglas County,Colorado,Racial Economic Segregation,0.41168001175347096
08037,Eagle County,Colorado,Racial Economic Segregation,0.30017694036631437
08039,Elbert County,Colorado,Racial Economic Segregation,0.3577715646681164
08041,El Paso County,Colorado,Racial Economic Segregation,0.1844978705672131
08043,Fremont County,Colorado,Racial Economic Segregation,0.09426391636055383
08045,Garfield County,Colorado,Racial Economic Segregation,0.18759481600277406
08047,Gilpin County,Colorado,Racial Economic Segregation,0.22366710013003901
08049,Grand County,Colorado,Racial Economic Segregation,0.18235294117647058
08051,Gunnison County,Colorado,Racial Economic Segregation,0.22814121219789954
08053,Hinsdale County,Colorado,Racial Economic Segregation,0.18181818181818182
08055,Huerfano County,Colorado,Racial Economic Segregation,0.0846262341325811
08057,Jackson County,Colorado,Racial Economic Segregation,0.08675078864353312
08059,Jefferson County,Colorado,Racial Economic Segregation,0.2925872074856998
08061,Kiowa County,Colorado,Racial Economic Segregation,0.11149825783972125
08063,Kit Carson County,Colorado,Racial Economic Segregation,0.10157858613589568
08065,Lake County,Colorado,Racial Economic Segregation,0.17877661372085163
08067,La Plata County,Colorado,Racial Economic Segregation,0.20655172413793105
08069,Larimer County,Colorado,Racial Economic Segregation,0.2254850861972277
08071,Las Animas County,Colorado,Racial Economic Segregation,0.0689449335920012
08073,Lincoln County,Colorado,Racial Economic Segregation,0.11218274111675126
08075,Logan County,Colorado,Racial Economic Segregation,0.09045164457535591
08077,Mesa County,Colorado,Racial Economic Segregation,0.1360925664895677
08079,Mineral County,Colorado,Racial Economic Segregation,0.055299539170506916
08081,Moffat County,Colorado,Racial Economic Segregation,0.13860079200452574
08083,Montezuma County,Colorado,Racial Economic Segregation,0.09491525423728814
08085,Montrose County,Colorado,Racial Economic Segregation,0.1260767870386217
08087,Morgan County,Colorado,Racial Economic Segregation,0.08945889603915526
08089,Otero County,Colorado,Racial Economic Segregation,0.06685856339133849
08091,Ouray County,Colorado,Racial Economic Segregation,0.18416865552903738
08093,Park County,Colorado,Racial Economic Segregation,0.21202793891322363
08095,Phillips County,Colorado,Racial Economic Segregation,0.12479827864443249
08097,Pitkin County,Colorado,Racial Economic Segregation,0.2711770568043406
08099,Prowers County,Colorado,Racial Economic Segregation,0.06704645048203331
08101,Pueblo County,Colorado,Racial Economic Segregation,0.10074318744838975
08103,Rio Blanco County,Colorado,Racial Economic Segregation,0.08388094317742559
08105,Rio Grande County,Colorado,Racial Economic Segregation,0.12003179650238474
08107,Routt County,Colorado,Racial Economic Segregation,0.30511347584518317
08109,Saguache County,Colorado,Racial Economic Segregation,0.06746396810794235
08111,San Juan County,Colorado,Racial Economic Segregation,0.11878453038674033
08113,San Miguel County,Colorado,Racial Economic Segregation,0.25087543771885945
08115,Sedgwick County,Colorado,Racial Economic Segregation,0.069
08117,Summit County,Colorado,Racial Economic Segregation,0.2754515266866445
08119,Teller County,Colorado,Racial Economic Segregation,0.1647560650493202
08121,Washington County,Colorado,Racial Economic Segregation,0.1318840579710145
08123,Weld County,Colorado,Racial Economic Segregation,0.20491755472050258
08125,Yuma County,Colorado,Racial Economic Segregation,0.1096790497851908
08001,Adams County,Colorado,Racial Segregation,0.42962349926011806
08003,Alamosa County,Colorado,Racial Segregation,0.4410535876475931
08005,Arapahoe County,Colorado,Racial Segregation,0.4595559920635526
08007,Archuleta County,Colorado,Racial Segregation,0.7726875455207575
08009,Baca County,Colorado,Racial Segregation,0.8323699421965318
08011,Bent County,Colorado,Racial Segregation,0.5121288921071687
08013,Boulder County,Colorado,Racial Segregation,0.7458035983515932
08014,Broomfield County,Colorado,Racial Segregation,0.7209958727200106
08015,Chaffee County,Colorado,Racial Segregation,0.8357315355202254
08017,Cheyenne County,Colorado,Racial Segregation,0.7777136258660509
08019,Clear Creek County,Colorado,Racial Segregation,0.8528531737550759
08021,Conejos County,Colorado,Racial Segregation,0.4605891719745223
08023,Costilla County,Colorado,Racial Segregation,0.3469616353962475
08025,Crowley County,Colorado,Racial Segregation,0.500174398325776
08027,Custer County,Colorado,Racial Segregation,0.9310072935146856
08029,Delta County,Colorado,Racial Segregation,0.7973080725927344
08031,Denver County,Colorado,Racial Segregation,0.4608607688578658
08033,Dolores County,Colorado,Racial Segregation,0.7840670859538784
08035,Douglas County,Colorado,Racial Segregation,0.7699758066486914
08037,Eagle County,Colorado,Racial Segregation,0.6213565933470582
08039,Elbert County,Colorado,Racial Segregation,0.8306202121390689
08041,El Paso County,Colorado,Racial Segregation,0.6089607721655199
08043,Fremont County,Colorado,Racial Segregation,0.7491800623557517
08045,Garfield County,Colorado,Racial Segregation,0.6212077247960796
08047,Gilpin County,Colorado,Racial Segregation,0.839543985026374
08049,Grand County,Colorado,Racial Segregation,0.7844118019501076
08051,Gunnison County,Colorado,Racial Segregation,0.8418813381512997
08053,Hinsdale County,Colorado,Racial Segregation,0.838125665601704
08055,Huerfano County,Colorado,Racial Segregation,0.6383530089260006
08057,Jackson County,Colorado,Racial Segregation,0.8326300984528833
08059,Jefferson County,Colorado,Racial Segregation,0.7488679782306823
08061,Kiowa County,Colorado,Racial Segregation,0.8820058997050148
08063,Kit Carson County,Colorado,Racial Segregation,0.7556664290805417
08065,Lake County,Colorado,Racial Segregation,0.5722574551342599
08067,La Plata County,Colorado,Racial Segregation,0.7640136927685066
08069,Larimer County,Colorado,Racial Segregation,0.7899994773916894
08071,Las Animas County,Colorado,Racial Segregation,0.5279321845469706
08073,Lincoln County,Colorado,Racial Segregation,0.695558352814242
08075,Logan County,Colorado,Racial Segregation,0.7469502064840746
08077,Mesa County,Colorado,Racial Segregation,0.7846563604464899
08079,Mineral County,Colorado,Racial Segregation,0.899874843554443
08081,Moffat County,Colorado,Racial Segregation,0.7671594508975713
08083,Montezuma County,Colorado,Racial Segregation,0.7008853610135857
08085,Montrose County,Colorado,Racial Segregation,0.7371741541874653
08087,Morgan County,Colorado,Racial Segregation,0.530494072500514
08089,Otero County,Colorado,Racial Segregation,0.5117009750812568
08091,Ouray County,Colorado,Racial Segregation,0.8855493630573248
08093,Park County,Colorado,Racial Segregation,0.8597440667455888
08095,Phillips County,Colorado,Racial Segregation,0.7140948563794255
08097,Pitkin County,Colorado,Racial Segregation,0.8011566096150476
08099,Prowers County,Colorado,Racial Segregation,0.5527617131841421
08101,Pueblo County,Colorado,Racial Segregation,0.4982693834975048
08103,Rio Blanco County,Colorado,Racial Segregation,0.822951825713409
08105,Rio Grande County,Colorado,Racial Segregation,0.5474811304195191
08107,Routt County,Colorado,Racial Segregation,0.8129251700680272
08109,Saguache County,Colorado,Racial Segregation,0.5535248041775457
08111,San Juan County,Colorado,Racial Segregation,0.7884057971014493
08113,San Miguel County,Colorado,Racial Segregation,0.8390231746822826
08115,Sedgwick County,Colorado,Racial Segregation,0.7450980392156863
08117,Summit County,Colorado,Racial Segregation,0.74553585896231
08119,Teller County,Colorado,Racial Segregation,0.8349882941793816
08121,Washington County,Colorado,Racial Segregation,0.8363298202107874
08123,Weld County,Colorado,Racial Segregation,0.6181602589878226
08125,Yuma County,Colorado,Racial Segregation,0.68097973994557
08001,Adams County,Colorado,Gender Pay Gap,0.15041808754145836
08003,Alamosa County,Colorado,Gender Pay Gap,0.10313794889502759
08005,Arapahoe County,Colorado,Gender Pay Gap,0.16422824201193942
08007,Archuleta County,Colorado,Gender Pay Gap,0.19523366855404378
08009,Baca County,Colorado,Gender Pay Gap,0.1649005954183066
08011,Bent County,Colorado,Gender Pay Gap,0.12350850182262774
08013,Boulder County,Colorado,Gender Pay Gap,0.19914729287810973
08014,Broomfield County,Colorado,Gender Pay Gap,0.2370535622069364
08015,Chaffee County,Colorado,Gender Pay Gap,0.1307042063786078
08017,Cheyenne County,Colorado,Gender Pay Gap,0.09708737864077666
08019,Clear Creek County,Colorado,Gender Pay Gap,-0.1956181107190058
08021,Conejos County,Colorado,Gender Pay Gap,0.2509047607929207
08023,Costilla County,Colorado,Gender Pay Gap,0.3080833924827916
08025,Crowley County,Colorado,Gender Pay Gap,0.17615612756764676
08027,Custer County,Colorado,Gender Pay Gap,-0.16542768720288414
08029,Delta County,Colorado,Gender Pay Gap,0.1309163969986843
08031,Denver County,Colorado,Gender Pay Gap,0.124338185575954
08033,Dolores County,Colorado,Gender Pay Gap,0.204515043520886
08035,Douglas County,Colorado,Gender Pay Gap,0.30901647565123047
08037,Eagle County,Colorado,Gender Pay Gap,0.17864310402497496
08039,Elbert County,Colorado,Gender Pay Gap,0.2790654678499144
08041,El Paso County,Colorado,Gender Pay Gap,0.21626674517886058
08043,Fremont County,Colorado,Gender Pay Gap,0.1705581200167856
08045,Garfield County,Colorado,Gender Pay Gap,0.2195395241749808
08047,Gilpin County,Colorado,Gender Pay Gap,0.4787227693225903
08049,Grand County,Colorado,Gender Pay Gap,0.23274300171386597
08051,Gunnison County,Colorado,Gender Pay Gap,0.28168596441683136
08053,Hinsdale County,Colorado,Gender Pay Gap,0.15394726516518875
08055,Huerfano County,Colorado,Gender Pay Gap,0.0078108218937337215
08057,Jackson County,Colorado,Gender Pay Gap,0.15267858807734624
08059,Jefferson County,Colorado,Gender Pay Gap,0.20271118958182743
08061,Kiowa County,Colorado,Gender Pay Gap,0.13419999999999999
08063,Kit Carson County,Colorado,Gender Pay Gap,0.07100766602013486
08065,Lake County,Colorado,Gender Pay Gap,0.14577706291159598
08067,La Plata County,Colorado,Gender Pay Gap,0.13285441203675152
08069,Larimer County,Colorado,Gender Pay Gap,0.21589362934623002
08071,Las Animas County,Colorado,Gender Pay Gap,0.12572185540123781
08073,Lincoln County,Colorado,Gender Pay Gap,0.18595985786997027
08075,Logan County,Colorado,Gender Pay Gap,0.1715396578538103
08077,Mesa County,Colorado,Gender Pay Gap,0.1993278137552258
08079,Mineral County,Colorado,Gender Pay Gap,0.35525614035087716
08081,Moffat County,Colorado,Gender Pay Gap,0.2230752293577981
08083,Montezuma County,Colorado,Gender Pay Gap,0.11992377060453052
08085,Montrose County,Colorado,Gender Pay Gap,0.18836506337169223
08087,Morgan County,Colorado,Gender Pay Gap,0.2557943974352236
08089,Otero County,Colorado,Gender Pay Gap,0.21896333276602187
08091,Ouray County,Colorado,Gender Pay Gap,0.14555091980816914
08093,Park County,Colorado,Gender Pay Gap,0.23344015031594667
08095,Phillips County,Colorado,Gender Pay Gap,0.23451829125954582
08097,Pitkin County,Colorado,Gender Pay Gap,0.20808722725467332
08099,Prowers County,Colorado,Gender Pay Gap,-0.038081236810281416
08101,Pueblo County,Colorado,Gender Pay Gap,0.17183754768576343
08103,Rio Blanco County,Colorado,Gender Pay Gap,0.2662430227565479
08105,Rio Grande County,Colorado,Gender Pay Gap,0.02194250722912061
08107,Routt County,Colorado,Gender Pay Gap,0.13768680695133795
08109,Saguache County,Colorado,Gender Pay Gap,0.26667859414758266
08111,San Juan County,Colorado,Gender Pay Gap,0.1542431372549019
08113,San Miguel County,Colorado,Gender Pay Gap,-0.016950860982780425
08115,Sedgwick County,Colorado,Gender Pay Gap,0.3417863292154929
08117,Summit County,Colorado,Gender Pay Gap,0.07006084318373973
08119,Teller County,Colorado,Gender Pay Gap,0.266700774740535
08121,Washington County,Colorado,Gender Pay Gap,0.16954482758620693
08123,Weld County,Colorado,Gender Pay Gap,0.22793939480323266
08125,Yuma County,Colorado,Gender Pay Gap,0.16982139995370293
08001,Adams County,Colorado,Children without Health Insurance,0.059415507726664325
08003,Alamosa County,Colorado,Children without Health Insurance,0.015060240963855422
08005,Arapahoe County,Colorado,Children without Health Insurance,0.06357209160382997
08007,Archuleta County,Colorado,Children without Health Insurance,0.08764135702746365
08009,Baca County,Colorado,Children without Health Insurance,0.03417721518987342
08011,Bent County,Colorado,Children without Health Insurance,0.016519823788546256
08013,Boulder County,Colorado,Children without Health Insurance,0.019992816951993297
08014,Broomfield County,Colorado,Children without Health Insurance,0.02986765231906522
08015,Chaffee County,Colorado,Children without Health Insurance,0.015405224380442064
08017,Cheyenne County,Colorado,Children without Health Insurance,0.105
08019,Clear Creek County,Colorado,Children without Health Insurance,0.0
08021,Conejos County,Colorado,Children without Health Insurance,0.1055527763881941
08023,Costilla County,Colorado,Children without Health Insurance,0.021929824561403508
08025,Crowley County,Colorado,Children without Health Insurance,0.001951219512195122
08027,Custer County,Colorado,Children without Health Insurance,0.18070652173913043
08029,Delta County,Colorado,Children without Health Insurance,0.07626191592436318
08031,Denver County,Colorado,Children without Health Insurance,0.05336722653575539
08033,Dolores County,Colorado,Children without Health Insurance,0.05157593123209169
08035,Douglas County,Colorado,Children without Health Insurance,0.028839712028244202
08037,Eagle County,Colorado,Children without Health Insurance,0.05220883534136546
08039,Elbert County,Colorado,Children without Health Insurance,0.031209150326797386
08041,El Paso County,Colorado,Children without Health Insurance,0.04652793498125521
08043,Fremont County,Colorado,Children without Health Insurance,0.03263458789899952
08045,Garfield County,Colorado,Children without Health Insurance,0.14537498480612618
08047,Gilpin County,Colorado,Children without Health Insurance,0.022940563086548488
08049,Grand County,Colorado,Children without Health Insurance,0.06361607142857142
08051,Gunnison County,Colorado,Children without Health Insurance,0.010329890036654448
08053,Hinsdale County,Colorado,Children without Health Insurance,0.072992700729927
08055,Huerfano County,Colorado,Children without Health Insurance,0.00967741935483871
08057,Jackson County,Colorado,Children without Health Insurance,0.075
08059,Jefferson County,Colorado,Children without Health Insurance,0.03719899209434828
08061,Kiowa County,Colorado,Children without Health Insurance,0.00964630225080386
08063,Kit Carson County,Colorado,Children without Health Insurance,0.10418848167539267
08065,Lake County,Colorado,Children without Health Insurance,0.06328233657858136
08067,La Plata County,Colorado,Children without Health Insurance,0.07330465818614441
08069,Larimer County,Colorado,Children without Health Insurance,0.03802404065937021
08071,Las Animas County,Colorado,Children without Health Insurance,0.028356066044508254
08073,Lincoln County,Colorado,Children without Health Insurance,0.06436567164179105
08075,Logan County,Colorado,Children without Health Insurance,0.046146171114991266
08077,Mesa County,Colorado,Children without Health Insurance,0.06118634808361367
08079,Mineral County,Colorado,Children without Health Insurance,0.12
08081,Moffat County,Colorado,Children without Health Insurance,0.049002849002849
08083,Montezuma County,Colorado,Children without Health Insurance,0.17503462603878117
08085,Montrose County,Colorado,Children without Health Insurance,0.13494077834179358
08087,Morgan County,Colorado,Children without Health Insurance,0.09386009058882738
08089,Otero County,Colorado,Children without Health Insurance,0.026729898685061437
08091,Ouray County,Colorado,Children without Health Insurance,0.06346749226006192
08093,Park County,Colorado,Children without Health Insurance,0.033157498116051246
08095,Phillips County,Colorado,Children without Health Insurance,0.02040816326530612
08097,Pitkin County,Colorado,Children without Health Insurance,0.01004090740052064
08099,Prowers County,Colorado,Children without Health Insurance,0.047719087635054024
08101,Pueblo County,Colorado,Children without Health Insurance,0.024298195729721347
08103,Rio Blanco County,Colorado,Children without Health Insurance,0.13106796116504854
08105,Rio Grande County,Colorado,Children without Health Insurance,0.12435233160621761
08107,Routt County,Colorado,Children without Health Insurance,0.07434464976364417
08109,Saguache County,Colorado,Children without Health Insurance,0.08346839546191248
08111,San Juan County,Colorado,Children without Health Insurance,0.0
08113,San Miguel County,Colorado,Children without Health Insurance,0.06656694091249066
08115,Sedgwick County,Colorado,Children without Health Insurance,0.0427807486631016
08117,Summit County,Colorado,Children without Health Insurance,0.028070175438596492
