GEOID,County,State,measure,value,sex
08045,Garfield,Colorado,Up-To-Date Percent,0.45630000000000004,Female
08019,Clear Creek,Colorado,Up-To-Date Percent,0.44270000000000004,Female
08003,Alamosa,Colorado,Up-To-Date Percent,0.4409,Female
08109,Saguache,Colorado,Up-To-Date Percent,0.375,Female
08077,Mesa,Colorado,Up-To-Date Percent,0.4014,Female
08073,Lincoln,Colorado,Up-To-Date Percent,0.4012,Female
08041,El Paso,Colorado,Up-To-Date Percent,0.4023,Female
08037,Eagle,Colorado,Up-To-Date Percent,0.39909999999999995,Female
08029,Delta,Colorado,Up-To-Date Percent,0.36829999999999996,Female
08015,Chaffee,Colorado,Up-To-Date Percent,0.3757,Female
08119,Teller,Colorado,Up-To-Date Percent,0.3206,Female
08091,Ouray,Colorado,Up-To-Date Percent,0.3232,Female
08081,Moffat,Colorado,Up-To-Date Percent,0.33909999999999996,Female
08057,Jackson,Colorado,Up-To-Date Percent,0.3542,Female
08051,Gunnison,Colorado,Up-To-Date Percent,0.3464,Female
08043,Fremont,Colorado,Up-To-Date Percent,0.33039999999999997,Female
08025,Crowley,Colorado,Up-To-Date Percent,0.34450000000000003,Female
08021,Conejos,Colorado,Up-To-Date Percent,0.3231,Female
08097,Pitkin,Colorado,Up-To-Date Percent,0.2963,Female
08095,Phillips,Colorado,Up-To-Date Percent,0.2667,Female
08083,Montezuma,Colorado,Up-To-Date Percent,0.29,Female
08075,Logan,Colorado,Up-To-Date Percent,0.28850000000000003,Female
08027,Custer,Colorado,Up-To-Date Percent,0.3085,Female
08007,Archuleta,Colorado,Up-To-Date Percent,0.3098,Female
08121,Washington,Colorado,Up-To-Date Percent,0.2368,Female
08115,Sedgwick,Colorado,Up-To-Date Percent,0.23809999999999998,Female
08125,Yuma,Colorado,Up-To-Date Percent,0.1765,Female
08103,Rio Blanco,Colorado,Up-To-Date Percent,0.20879999999999999,Female
08063,Kit Carson,Colorado,Up-To-Date Percent,0.1355,Female
08117,Summit,Colorado,Up-To-Date Percent,0.5118,Male
08099,Prowers,Colorado,Up-To-Date Percent,0.6465000000000001,Male
08061,Kiowa,Colorado,Up-To-Date Percent,0.6923,Male
08059,Jefferson,Colorado,Up-To-Date Percent,0.5486,Male
08035,Douglas,Colorado,Up-To-Date Percent,0.5179,Male
08031,Denver,Colorado,Up-To-Date Percent,0.5495,Male
08014,Broomfield,Colorado,Up-To-Date Percent,0.5435,Male
08005,Arapahoe,Colorado,Up-To-Date Percent,0.5609000000000001,Male
08001,Adams,Colorado,Up-To-Date Percent,0.5273,Male
08123,Weld,Colorado,Up-To-Date Percent,0.4889,Male
08107,Routt,Colorado,Up-To-Date Percent,0.49579999999999996,Male
08089,Otero,Colorado,Up-To-Date Percent,0.4658,Male
08079,Mineral,Colorado,Up-To-Date Percent,0.5,Male
08023,Costilla,Colorado,Up-To-Date Percent,0.4732,Male
08113,San Miguel,Colorado,Up-To-Date Percent,0.41359999999999997,Male
08101,Pueblo,Colorado,Up-To-Date Percent,0.42719999999999997,Male
08069,Larimer,Colorado,Up-To-Date Percent,0.4583,Male
08065,Lake,Colorado,Up-To-Date Percent,0.43560000000000004,Male
08039,Elbert,Colorado,Up-To-Date Percent,0.4424,Male
08013,Boulder,Colorado,Up-To-Date Percent,0.4462,Male
08093,Park,Colorado,Up-To-Date Percent,0.4092,Male
08087,Morgan,Colorado,Up-To-Date Percent,0.3776,Male
08085,Montrose,Colorado,Up-To-Date Percent,0.408,Male
08071,Las Animas,Colorado,Up-To-Date Percent,0.38159999999999994,Male
08067,La Plata,Colorado,Up-To-Date Percent,0.3898,Male
08057,Jackson,Colorado,Up-To-Date Percent,0.381,Male
08049,Grand,Colorado,Up-To-Date Percent,0.3983,Male
08047,Gilpin,Colorado,Up-To-Date Percent,0.38520000000000004,Male
08045,Garfield,Colorado,Up-To-Date Percent,0.4072,Male
08041,El Paso,Colorado,Up-To-Date Percent,0.3674,Male
08037,Eagle,Colorado,Up-To-Date Percent,0.3721,Male
08011,Bent,Colorado,Up-To-Date Percent,0.3725,Male
08009,Baca,Colorado,Up-To-Date Percent,0.3608,Male
08111,San Juan,Colorado,Up-To-Date Percent,0.3333,Male
08105,Rio Grande,Colorado,Up-To-Date Percent,0.3525,Male
08077,Mesa,Colorado,Up-To-Date Percent,0.35619999999999996,Male
08055,Huerfano,Colorado,Up-To-Date Percent,0.3193,Male
08033,Dolores,Colorado,Up-To-Date Percent,0.3514,Male
08029,Delta,Colorado,Up-To-Date Percent,0.3354,Male
08027,Custer,Colorado,Up-To-Date Percent,0.3261,Male
08025,Crowley,Colorado,Up-To-Date Percent,0.3333,Male
08019,Clear Creek,Colorado,Up-To-Date Percent,0.3453,Male
08017,Cheyenne,Colorado,Up-To-Date Percent,0.3182,Male
08003,Alamosa,Colorado,Up-To-Date Percent,0.35600000000000004,Male
08119,Teller,Colorado,Up-To-Date Percent,0.285,Male
08095,Phillips,Colorado,Up-To-Date Percent,0.26030000000000003,Male
08081,Moffat,Colorado,Up-To-Date Percent,0.3009,Male
08043,Fremont,Colorado,Up-To-Date Percent,0.2822,Male
08015,Chaffee,Colorado,Up-To-Date Percent,0.2812,Male
08007,Archuleta,Colorado,Up-To-Date Percent,0.3005,Male
08097,Pitkin,Colorado,Up-To-Date Percent,0.23190000000000002,Male
08091,Ouray,Colorado,Up-To-Date Percent,0.2273,Male
08083,Montezuma,Colorado,Up-To-Date Percent,0.2139,Male
08075,Logan,Colorado,Up-To-Date Percent,0.22219999999999998,Male
08073,Lincoln,Colorado,Up-To-Date Percent,0.2532,Male
08051,Gunnison,Colorado,Up-To-Date Percent,0.2484,Male
08021,Conejos,Colorado,Up-To-Date Percent,0.255,Male
08125,Yuma,Colorado,Up-To-Date Percent,0.1624,Male
08121,Washington,Colorado,Up-To-Date Percent,0.1789,Male
08109,Saguache,Colorado,Up-To-Date Percent,0.1818,Male
08103,Rio Blanco,Colorado,Up-To-Date Percent,0.19269999999999998,Male
08063,Kit Carson,Colorado,Up-To-Date Percent,0.1494,Male
08053,Hinsdale,Colorado,Up-To-Date Percent,0.15,Male
