GEOID,County,State,measure,value
08081,Moffat County,Colorado,Enrolled in Medicaid,0.2909243185625095
08083,Montezuma County,Colorado,Enrolled in Medicaid,0.3250163644064534
08085,Montrose County,Colorado,Enrolled in Medicaid,0.2876411836086997
08087,Morgan County,Colorado,Enrolled in Medicaid,0.2520976221146816
08089,Otero County,Colorado,Enrolled in Medicaid,0.3854109664003502
08091,Ouray County,Colorado,Enrolled in Medicaid,0.09434713375796179
08093,Park County,Colorado,Enrolled in Medicaid,0.13671919283527945
08095,Phillips County,Colorado,Enrolled in Medicaid,0.26144086995922067
08097,Pitkin County,Colorado,Enrolled in Medicaid,0.10792629423808131
08099,Prowers County,Colorado,Enrolled in Medicaid,0.3538787621873675
08101,Pueblo County,Colorado,Enrolled in Medicaid,0.33074419113092274
08103,Rio Blanco County,Colorado,Enrolled in Medicaid,0.228874337386966
08105,Rio Grande County,Colorado,Enrolled in Medicaid,0.2992252204114347
08107,Routt County,Colorado,Enrolled in Medicaid,0.1282412626832018
08109,Saguache County,Colorado,Enrolled in Medicaid,0.3072056781360901
08111,San Juan County,Colorado,Enrolled in Medicaid,0.10434782608695652
08113,San Miguel County,Colorado,Enrolled in Medicaid,0.09060277049794084
08115,Sedgwick County,Colorado,Enrolled in Medicaid,0.2189119170984456
08117,Summit County,Colorado,Enrolled in Medicaid,0.1229111911483176
08119,Teller County,Colorado,Enrolled in Medicaid,0.18724371726685884
08121,Washington County,Colorado,Enrolled in Medicaid,0.28393202839320286
08123,Weld County,Colorado,Enrolled in Medicaid,0.1967740792364573
08125,Yuma County,Colorado,Enrolled in Medicaid,0.19279704494151448
08001,Adams County,Colorado,Household Income ($),91387.0
08003,Alamosa County,Colorado,Household Income ($),51445.0
08005,Arapahoe County,Colorado,Household Income ($),97215.0
08007,Archuleta County,Colorado,Household Income ($),76524.0
08009,Baca County,Colorado,Household Income ($),40380.0
08011,Bent County,Colorado,Household Income ($),49194.0
08013,Boulder County,Colorado,Household Income ($),102772.0
08014,Broomfield County,Colorado,Household Income ($),121025.0
08015,Chaffee County,Colorado,Household Income ($),70909.0
08017,Cheyenne County,Colorado,Household Income ($),67768.0
08019,Clear Creek County,Colorado,Household Income ($),96667.0
08021,Conejos County,Colorado,Household Income ($),47209.0
08023,Costilla County,Colorado,Household Income ($),36519.0
08025,Crowley County,Colorado,Household Income ($),47563.0
08027,Custer County,Colorado,Household Income ($),72700.0
08029,Delta County,Colorado,Household Income ($),58330.0
08031,Denver County,Colorado,Household Income ($),91681.0
08033,Dolores County,Colorado,Household Income ($),70490.0
08035,Douglas County,Colorado,Household Income ($),145737.0
08037,Eagle County,Colorado,Household Income ($),103174.0
08039,Elbert County,Colorado,Household Income ($),129477.0
08041,El Paso County,Colorado,Household Income ($),87470.0
08043,Fremont County,Colorado,Household Income ($),61027.0
08045,Garfield County,Colorado,Household Income ($),86172.0
08047,Gilpin County,Colorado,Household Income ($),88654.0
08049,Grand County,Colorado,Household Income ($),84558.0
08051,Gunnison County,Colorado,Household Income ($),77358.0
08053,Hinsdale County,Colorado,Household Income ($),64327.0
08055,Huerfano County,Colorado,Household Income ($),52139.0
08057,Jackson County,Colorado,Household Income ($),41809.0
08059,Jefferson County,Colorado,Household Income ($),107800.0
08061,Kiowa County,Colorado,Household Income ($),56389.0
08063,Kit Carson County,Colorado,Household Income ($),59810.0
08065,Lake County,Colorado,Household Income ($),93655.0
08067,La Plata County,Colorado,Household Income ($),85296.0
08069,Larimer County,Colorado,Household Income ($),91364.0
08071,Las Animas County,Colorado,Household Income ($),50408.0
08073,Lincoln County,Colorado,Household Income ($),54257.0
08075,Logan County,Colorado,Household Income ($),55074.0
08077,Mesa County,Colorado,Household Income ($),71485.0
08079,Mineral County,Colorado,Household Income ($),52455.0
08081,Moffat County,Colorado,Household Income ($),70975.0
08083,Montezuma County,Colorado,Household Income ($),63005.0
08085,Montrose County,Colorado,Household Income ($),66072.0
08087,Morgan County,Colorado,Household Income ($),75407.0
08089,Otero County,Colorado,Household Income ($),54897.0
08091,Ouray County,Colorado,Household Income ($),84556.0
08093,Park County,Colorado,Household Income ($),95450.0
08095,Phillips County,Colorado,Household Income ($),60372.0
08097,Pitkin County,Colorado,Household Income ($),100318.0
08099,Prowers County,Colorado,Household Income ($),57601.0
08101,Pueblo County,Colorado,Household Income ($),62250.0
08103,Rio Blanco County,Colorado,Household Income ($),72620.0
08105,Rio Grande County,Colorado,Household Income ($),62166.0
08107,Routt County,Colorado,Household Income ($),104803.0
08109,Saguache County,Colorado,Household Income ($),54283.0
08111,San Juan County,Colorado,Household Income ($),73889.0
08113,San Miguel County,Colorado,Household Income ($),80117.0
08115,Sedgwick County,Colorado,Household Income ($),52833.0
08117,Summit County,Colorado,Household Income ($),106255.0
08119,Teller County,Colorado,Household Income ($),80666.0
08121,Washington County,Colorado,Household Income ($),65164.0
08123,Weld County,Colorado,Household Income ($),93287.0
08125,Yuma County,Colorado,Household Income ($),60051.0
08001,Adams County,Colorado,Annual Labor Force Participation,0.7189658356417359
08003,Alamosa County,Colorado,Annual Labor Force Participation,0.6226241569589209
08005,Arapahoe County,Colorado,Annual Labor Force Participation,0.7141964027162772
08007,Archuleta County,Colorado,Annual Labor Force Participation,0.5312178387650086
08009,Baca County,Colorado,Annual Labor Force Participation,0.5511014806789455
08011,Bent County,Colorado,Annual Labor Force Participation,0.3532275132275132
08013,Boulder County,Colorado,Annual Labor Force Participation,0.6725782425083883
08014,Broomfield County,Colorado,Annual Labor Force Participation,0.7091252585462777
08015,Chaffee County,Colorado,Annual Labor Force Participation,0.553409811494783
08017,Cheyenne County,Colorado,Annual Labor Force Participation,0.6763215061549602
08019,Clear Creek County,Colorado,Annual Labor Force Participation,0.6909353905496625
08021,Conejos County,Colorado,Annual Labor Force Participation,0.5937767139681996
08023,Costilla County,Colorado,Annual Labor Force Participation,0.4375419744795164
08025,Crowley County,Colorado,Annual Labor Force Participation,0.3441545508862776
08027,Custer County,Colorado,Annual Labor Force Participation,0.48889387480367963
08029,Delta County,Colorado,Annual Labor Force Participation,0.4846292255273535
08031,Denver County,Colorado,Annual Labor Force Participation,0.7423639982865926
08033,Dolores County,Colorado,Annual Labor Force Participation,0.5821885362387494
08035,Douglas County,Colorado,Annual Labor Force Participation,0.7217213227411419
08037,Eagle County,Colorado,Annual Labor Force Participation,0.7435122252626004
08039,Elbert County,Colorado,Annual Labor Force Participation,0.6551616080222044
08041,El Paso County,Colorado,Annual Labor Force Participation,0.6683107387550582
08043,Fremont County,Colorado,Annual Labor Force Participation,0.4324470588235294
08045,Garfield County,Colorado,Annual Labor Force Participation,0.7303207902748151
08047,Gilpin County,Colorado,Annual Labor Force Participation,0.7150516282764099
08049,Grand County,Colorado,Annual Labor Force Participation,0.6931118855193891
08051,Gunnison County,Colorado,Annual Labor Force Participation,0.7259019924609585
08053,Hinsdale County,Colorado,Annual Labor Force Participation,0.5555555555555556
08055,Huerfano County,Colorado,Annual Labor Force Participation,0.41149273447820345
